Type,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,VideoAmt,PhotoAmt,AdoptionSpeed,optimized_word_count,Fee_bins
1,10,307,117,2,1,2,7,2,2,1,1,1,1,1,0,0.0,4,33,0
2,3,266,0,1,2,7,0,1,1,2,1,2,1,1,0,13.0,1,21,0
2,36,285,251,1,3,0,0,3,2,1,1,1,1,1,0,3.0,2,40,0
2,2,285,265,1,3,0,0,2,2,2,2,2,1,1,0,11.0,1,7,0
2,1,266,0,2,1,0,0,2,1,2,2,2,1,1,0,2.0,2,10,0
1,14,189,0,1,1,2,0,3,1,1,1,2,1,1,0,0.0,3,20,1
2,1,266,0,2,2,7,0,1,1,2,1,2,1,1,0,1.0,2,38,0
1,4,205,218,3,2,7,0,1,2,1,1,1,1,2,0,5.0,3,25,0
2,1,266,0,1,1,0,0,1,1,2,2,2,1,1,0,1.0,1,7,0
1,24,307,0,1,5,7,0,2,1,1,1,2,1,5,0,1.0,4,33,0
2,4,266,0,2,1,6,7,1,1,2,2,2,1,2,0,7.0,3,35,0
2,3,266,0,2,1,7,0,1,1,1,2,2,1,1,0,5.0,4,2,1
2,12,264,0,2,6,0,0,2,3,2,2,2,1,1,0,5.0,1,2,0
2,24,265,292,2,1,4,0,2,2,1,1,3,1,3,0,2.0,4,5,0
2,2,265,0,2,2,0,0,1,2,2,2,2,1,1,0,3.0,1,30,0
1,12,307,0,1,1,0,0,2,1,2,2,2,1,1,0,4.0,1,27,0
1,12,307,0,1,5,0,0,2,2,1,1,2,1,1,0,1.0,3,11,0
2,2,265,266,2,7,0,0,2,2,2,1,2,1,1,0,13.0,3,98,0
2,1,266,0,3,1,2,7,1,1,2,2,2,1,3,0,1.0,2,15,0
2,24,292,285,2,7,0,0,2,3,3,3,3,2,6,0,1.0,1,16,0
1,5,128,307,1,7,0,0,2,1,1,1,1,1,1,0,6.0,3,29,0
1,12,307,0,1,2,7,0,2,2,2,1,1,1,1,0,2.0,4,32,0
1,4,307,0,1,1,7,0,2,1,2,2,2,1,2,0,11.0,4,52,0
2,5,265,0,1,4,7,0,1,3,1,1,2,1,1,0,13.0,3,53,0
1,72,307,0,2,2,7,0,2,1,1,1,1,1,1,0,3.0,4,28,0
1,1,307,0,3,1,2,0,2,1,3,3,2,1,6,0,3.0,3,18,0
2,60,264,0,1,1,2,7,3,3,1,1,1,1,1,0,3.0,2,57,0
1,1,307,141,2,1,0,0,2,2,2,1,1,1,2,0,13.0,3,35,0
2,6,266,0,1,1,2,7,2,1,1,1,1,1,1,0,1.0,4,8,2
1,2,307,0,1,2,7,0,2,1,1,1,2,1,1,0,3.0,3,32,0
1,12,307,307,2,2,0,0,2,2,1,1,1,1,2,0,5.0,4,119,0
1,3,307,0,2,2,7,0,1,1,3,3,3,2,1,0,0.0,3,28,0
2,3,265,0,3,4,6,7,1,2,1,1,2,1,2,0,13.0,2,40,0
2,5,266,0,1,1,7,0,2,1,2,1,2,1,1,0,4.0,4,64,1
1,24,307,0,2,5,0,0,2,2,1,1,1,1,1,0,2.0,2,15,0
1,4,307,0,1,5,0,0,3,2,2,2,2,1,1,0,3.0,1,14,0
2,2,243,0,3,1,6,7,1,1,3,3,3,1,6,0,1.0,4,8,0
2,1,266,0,2,4,0,0,2,1,2,2,2,1,1,0,5.0,1,38,0
1,9,307,0,1,2,5,0,2,1,1,1,3,1,1,0,2.0,4,41,0
1,60,307,0,2,2,5,0,2,1,2,2,1,1,1,0,2.0,4,53,0
1,2,307,0,1,1,2,0,2,2,2,2,2,1,1,0,5.0,2,18,0
1,2,213,307,3,1,3,7,2,3,1,1,2,1,6,0,13.0,3,101,0
1,48,205,0,2,2,5,0,2,2,1,1,2,1,1,0,5.0,1,4,0
2,3,266,0,2,2,0,0,2,1,2,2,2,1,1,0,1.0,4,5,0
2,4,266,0,1,1,3,0,1,1,2,1,2,1,2,0,1.0,2,36,0
2,9,266,0,2,2,7,0,2,1,2,2,2,1,1,0,1.0,2,38,0
1,62,307,0,1,1,3,6,2,2,1,1,1,1,1,0,3.0,4,18,0
1,36,307,0,2,1,2,0,2,1,1,1,1,1,5,0,1.0,4,34,0
1,1,307,307,2,1,2,0,2,2,2,1,2,1,1,0,1.0,3,3,0
1,2,141,128,1,1,2,7,1,1,1,3,2,1,1,0,5.0,1,32,0
1,2,307,0,1,1,2,0,1,1,1,1,2,1,1,0,3.0,4,19,0
1,1,173,96,3,1,2,7,2,2,2,2,2,1,6,0,5.0,2,218,2
1,2,307,0,2,2,5,0,2,1,2,1,2,1,1,0,1.0,0,16,0
1,2,307,0,2,1,0,0,3,1,1,1,2,1,2,1,3.0,4,80,0
1,12,307,0,2,2,0,0,2,1,1,1,1,1,1,0,3.0,3,12,0
1,2,307,307,1,2,0,0,2,2,1,1,2,1,1,0,5.0,1,2,0
1,1,307,0,2,2,7,0,2,1,1,1,2,1,1,0,1.0,3,21,0
1,2,307,0,2,1,2,0,2,1,1,2,2,1,1,0,1.0,4,25,0
1,3,207,0,1,1,2,0,1,3,1,1,3,1,1,0,2.0,1,25,5
1,3,307,0,1,1,7,0,2,2,2,1,2,1,1,0,1.0,2,22,0
1,3,307,141,1,5,0,0,2,2,3,3,2,1,1,0,3.0,3,12,0
2,6,265,0,2,5,7,0,2,2,2,1,2,1,1,0,4.0,3,13,1
1,1,307,0,2,1,2,0,2,2,2,2,2,1,2,0,3.0,2,15,0
2,47,250,285,2,1,2,0,2,3,2,2,2,1,1,0,2.0,4,14,0
1,2,189,307,1,1,2,0,3,2,3,3,3,1,1,0,4.0,2,40,0
1,12,307,0,2,5,0,0,2,2,1,1,1,1,1,3,11.0,3,183,0
1,2,307,76,1,1,7,0,2,1,1,1,2,1,1,4,13.0,3,142,0
1,1,307,0,1,2,0,0,2,1,2,2,2,1,1,0,5.0,3,72,0
2,1,266,266,3,2,3,7,1,2,2,2,2,1,2,0,3.0,4,119,0
1,1,307,307,3,2,7,0,2,1,2,2,2,1,5,0,0.0,4,16,0
2,24,266,0,1,4,0,0,3,1,2,2,2,2,1,0,12.0,3,106,0
2,24,266,0,2,2,4,0,2,1,2,2,1,1,1,0,1.0,4,4,0
1,2,307,0,1,1,2,0,2,1,2,2,2,1,1,0,2.0,3,27,0
1,4,207,169,2,2,0,0,1,3,3,1,1,1,1,0,3.0,3,22,0
1,24,307,0,1,2,7,0,2,1,2,2,2,1,1,0,3.0,3,14,0
2,3,265,0,1,1,7,0,2,2,3,3,2,1,1,0,1.0,1,3,0
2,1,264,0,3,5,6,0,1,2,2,2,2,1,2,0,1.0,2,26,0
1,24,119,307,2,1,6,7,2,2,3,3,1,1,1,0,2.0,2,50,0
1,60,195,0,1,6,0,0,2,2,1,1,1,1,1,0,3.0,4,24,0
1,1,307,307,2,1,2,7,2,2,1,1,2,1,1,0,1.0,3,2,0
2,3,266,0,2,2,3,0,1,1,1,1,2,1,1,0,7.0,1,67,0
2,2,265,0,1,3,0,0,1,2,2,2,2,1,1,0,2.0,2,3,0
2,1,266,266,3,1,7,0,2,1,1,1,2,1,2,0,3.0,0,32,1
1,2,307,0,2,1,2,0,2,1,2,2,2,1,1,0,2.0,3,14,0
2,2,266,0,2,6,7,0,2,1,2,1,2,1,1,0,2.0,1,19,0
1,3,307,0,2,2,0,0,2,1,1,1,2,1,1,0,4.0,4,19,0
1,2,307,307,2,1,4,7,3,1,2,2,2,1,6,0,5.0,3,64,0
2,12,299,0,2,3,6,7,2,2,1,2,1,1,2,0,1.0,4,6,0
2,4,266,306,2,1,7,0,2,1,1,1,2,1,1,0,5.0,2,195,0
1,120,307,0,1,1,2,7,3,1,3,3,3,1,1,0,3.0,4,97,0
1,3,307,0,2,2,0,0,2,1,2,2,2,1,1,0,4.0,4,19,0
2,1,265,0,3,2,5,7,1,2,2,2,2,1,4,0,2.0,4,43,0
1,36,109,0,2,2,3,4,3,2,1,1,2,1,1,0,4.0,1,75,0
2,3,266,0,2,1,2,7,1,1,2,1,2,1,1,0,3.0,4,9,0
2,60,285,0,1,3,0,0,2,2,1,1,2,1,1,0,0.0,4,12,0
2,1,266,0,2,2,5,7,2,1,2,1,3,1,1,0,4.0,1,55,0
1,3,307,0,3,1,2,7,2,2,1,1,2,1,3,0,3.0,1,30,3
1,36,189,0,1,1,5,0,3,1,1,1,1,1,1,0,4.0,2,166,0
1,12,206,0,1,1,6,7,2,2,1,2,2,1,1,0,1.0,2,129,5
2,1,266,0,3,1,6,7,1,1,2,3,2,1,4,0,3.0,3,34,0
1,0,307,307,3,1,2,3,3,1,3,3,3,1,2,0,4.0,1,65,0
2,1,265,0,1,1,7,0,1,2,2,2,2,1,1,1,1.0,2,18,0
1,5,70,18,1,5,7,0,2,1,1,1,1,1,1,0,6.0,3,11,0
1,24,103,307,2,1,2,0,2,2,3,3,3,1,1,0,3.0,3,54,0
1,3,307,0,1,2,0,0,2,2,1,1,2,1,1,0,3.0,1,29,0
1,3,307,0,2,2,0,0,1,1,3,3,3,1,3,0,1.0,4,5,0
1,4,307,0,2,1,0,0,2,1,2,1,2,1,1,0,5.0,4,82,0
2,3,266,0,3,1,7,0,2,2,3,3,3,1,2,0,3.0,1,32,0
2,1,265,0,2,1,7,0,1,2,2,2,2,1,5,0,3.0,2,16,0
2,8,292,266,1,2,5,0,2,1,1,1,2,1,1,0,8.0,2,24,1
2,2,303,266,3,1,2,0,2,1,2,2,2,1,2,0,2.0,4,12,0
1,32,307,307,3,1,4,5,2,1,1,1,1,1,2,0,5.0,4,127,0
1,3,78,307,3,1,2,0,3,1,1,1,2,1,3,0,4.0,2,23,0
2,12,265,0,1,1,0,0,2,2,2,2,2,1,1,0,1.0,3,43,0
1,4,307,36,2,1,2,7,2,2,1,1,1,1,1,0,10.0,3,31,0
1,2,307,0,1,1,2,0,2,1,2,3,2,1,1,0,3.0,2,18,0
2,7,254,303,2,1,4,7,2,1,1,1,2,1,1,0,7.0,2,2,0
2,5,264,0,1,4,0,0,2,3,2,1,2,1,1,0,5.0,3,128,2
2,2,265,0,2,6,7,0,2,2,1,1,2,1,2,0,4.0,2,121,0
1,60,10,0,2,1,7,0,2,1,1,1,1,1,1,0,2.0,3,13,0
2,4,265,247,3,1,3,7,2,2,2,2,2,1,5,0,5.0,2,102,0
1,120,20,195,1,2,0,0,2,1,1,1,2,1,2,0,1.0,1,12,0
1,12,307,0,2,2,0,0,2,1,1,1,1,1,1,0,2.0,2,52,0
2,17,266,0,2,1,2,7,1,1,3,3,1,1,1,0,3.0,3,60,0
2,2,266,0,3,4,5,7,2,1,2,2,2,1,2,0,2.0,2,37,0
1,48,307,307,1,1,2,0,2,2,1,1,1,1,1,0,2.0,2,10,0
1,4,307,0,2,1,7,0,2,1,1,2,2,1,1,0,2.0,3,9,0
2,12,305,0,2,3,5,0,2,2,3,1,1,1,1,0,2.0,3,39,0
2,12,285,292,1,1,7,0,3,3,2,1,2,1,1,0,2.0,1,17,0
2,3,266,0,2,6,7,0,2,1,1,1,2,1,1,1,3.0,2,51,0
1,1,307,0,3,1,2,3,2,2,2,2,2,1,3,0,11.0,4,33,0
1,36,78,0,2,1,2,0,3,2,3,3,3,2,1,0,4.0,3,35,0
1,12,307,0,2,5,7,0,2,1,3,3,3,1,1,1,1.0,4,57,0
1,2,307,0,2,1,2,0,2,2,1,1,2,1,1,0,1.0,4,24,2
1,36,78,0,1,1,0,0,2,1,1,1,1,1,1,0,1.0,2,44,0
2,1,265,0,3,1,6,7,2,2,2,2,2,1,3,0,13.0,2,229,0
2,1,283,0,2,4,7,0,1,1,2,2,2,1,1,0,3.0,1,39,0
1,0,307,0,2,1,7,0,2,2,3,3,3,1,5,0,5.0,1,17,0
1,2,307,0,2,2,0,0,2,1,1,1,2,1,1,0,4.0,1,41,0
1,2,307,0,3,1,4,7,2,1,1,1,2,1,3,0,3.0,3,45,1
1,2,307,307,3,2,0,0,2,2,2,2,2,1,3,0,5.0,4,16,0
2,36,306,0,3,1,3,6,2,2,1,1,1,1,5,0,0.0,4,73,0
1,3,307,0,3,2,4,5,2,1,3,3,3,1,5,0,1.0,4,27,0
1,2,307,0,2,1,2,0,2,2,1,1,2,1,1,0,4.0,3,22,0
1,1,307,0,2,2,5,7,3,1,3,1,3,1,1,0,2.0,2,100,0
2,2,266,0,2,1,5,0,2,1,2,1,2,1,1,0,3.0,2,8,0
2,2,292,252,1,2,5,0,1,1,2,2,2,1,1,0,1.0,0,37,0
1,2,307,0,2,1,2,0,2,1,1,1,2,1,1,0,9.0,2,24,2
2,3,266,0,1,4,0,0,2,1,3,1,2,1,1,0,3.0,4,37,0
1,17,307,0,1,1,0,0,2,2,1,1,1,1,1,0,1.0,4,88,3
1,2,307,0,3,1,2,7,2,1,3,3,3,1,6,0,5.0,3,19,0
2,48,299,0,1,1,2,7,3,1,1,1,2,1,1,0,4.0,2,73,1
2,1,266,0,1,1,2,0,2,1,2,2,2,1,1,0,1.0,2,34,0
2,5,266,264,2,1,7,0,2,2,2,2,2,1,1,0,4.0,2,35,3
1,8,307,141,1,1,2,0,2,1,3,3,1,1,1,0,3.0,2,34,0
1,4,307,307,2,7,0,0,1,1,1,1,1,1,1,0,2.0,4,70,0
1,3,307,0,1,1,7,0,2,1,1,1,2,1,1,0,3.0,3,13,0
2,72,266,0,1,1,7,0,2,1,1,1,1,1,1,0,10.0,4,175,0
2,12,266,254,2,1,4,7,2,1,3,3,3,1,5,0,4.0,4,4,0
1,12,307,0,2,1,2,0,2,2,2,1,2,1,1,0,2.0,4,17,0
2,12,266,266,1,3,7,0,2,1,1,1,1,1,2,0,2.0,4,13,0
1,22,20,0,1,2,5,7,2,1,1,1,2,1,1,0,0.0,3,10,0
1,36,307,0,1,3,0,0,2,2,3,3,2,1,1,0,3.0,4,156,0
1,2,307,0,1,5,0,0,2,2,3,3,2,1,1,0,1.0,3,12,0
2,4,299,0,2,1,2,0,2,1,3,3,1,1,5,0,1.0,4,11,0
1,12,307,0,2,7,0,0,2,2,1,1,2,1,1,0,5.0,2,54,0
1,7,307,0,1,1,7,0,1,1,2,2,2,1,1,1,1.0,4,40,1
1,2,307,0,1,1,2,0,2,1,2,2,2,1,1,0,4.0,1,4,0
1,3,307,0,2,2,7,0,1,1,2,1,3,1,3,0,2.0,4,39,0
1,24,307,0,2,2,7,0,2,1,1,1,1,1,1,0,13.0,4,55,0
1,1,307,0,2,2,0,0,2,3,2,2,2,1,1,0,3.0,1,18,0
1,1,307,0,2,2,0,0,2,1,2,2,2,1,1,0,1.0,2,9,0
1,3,307,0,1,3,0,0,3,1,1,1,2,1,2,0,9.0,2,79,0
2,5,266,0,1,1,7,0,1,1,1,2,3,1,1,0,4.0,4,73,0
1,16,205,147,2,5,7,0,1,1,1,1,3,1,1,0,3.0,1,26,0
2,2,266,0,1,3,5,7,2,1,1,1,2,1,1,0,5.0,2,107,0
2,2,265,0,1,5,0,0,1,2,3,3,3,1,1,0,6.0,4,33,0
1,7,205,178,1,2,0,0,2,1,1,1,3,1,1,0,8.0,1,21,0
2,13,266,0,2,2,3,0,2,1,2,1,2,1,1,0,5.0,4,73,0
1,3,307,0,1,1,7,0,2,1,1,1,1,1,1,0,3.0,3,40,0
1,12,307,0,1,1,2,0,2,1,1,1,2,1,1,0,1.0,4,1,0
2,3,266,0,1,1,7,0,1,1,1,1,2,1,1,0,9.0,2,138,0
1,2,307,307,2,1,2,0,2,2,2,2,2,1,1,0,1.0,4,25,0
2,10,266,0,2,4,0,0,2,1,1,1,1,1,1,0,8.0,3,43,0
1,2,307,0,2,4,5,7,2,1,2,1,2,1,1,0,5.0,1,85,0
1,2,307,0,1,1,2,5,2,1,2,2,2,1,1,0,2.0,3,57,0
2,4,266,0,2,1,2,6,3,1,2,2,2,1,1,0,8.0,1,3,0
1,60,109,307,1,2,4,7,2,2,1,1,1,1,1,0,5.0,3,115,0
2,2,266,0,2,1,4,7,2,1,2,2,2,1,6,0,6.0,4,88,1
2,12,266,0,2,2,3,5,2,1,1,1,1,1,1,0,2.0,4,66,0
2,2,266,254,2,1,4,7,1,1,2,2,2,1,1,0,5.0,1,109,0
2,0,292,299,3,2,5,0,2,1,2,2,2,2,3,0,1.0,1,14,0
1,2,307,141,3,5,7,0,3,1,1,1,2,1,3,1,8.0,3,33,0
2,6,266,0,2,3,7,0,2,1,2,1,1,1,1,0,5.0,4,1,0
1,3,307,0,2,1,2,0,3,1,3,3,2,1,1,0,2.0,2,15,0
1,1,307,0,2,1,0,0,2,2,2,1,2,1,1,0,4.0,1,43,0
1,2,307,0,2,1,2,7,1,1,2,2,2,1,4,0,5.0,1,68,0
2,3,265,0,1,4,7,0,2,2,2,2,2,1,1,0,3.0,1,22,1
1,19,307,0,2,1,0,0,2,1,1,1,1,1,1,0,3.0,4,70,2
2,11,266,0,2,1,4,7,2,1,1,1,1,1,1,0,5.0,4,26,1
1,37,307,0,2,2,3,7,2,1,1,1,1,1,1,0,5.0,4,58,0
2,4,288,285,2,1,7,0,1,3,2,2,3,1,1,0,3.0,2,36,5
1,3,307,141,1,5,0,0,2,1,2,1,1,1,1,0,6.0,1,7,0
1,6,307,0,1,1,2,5,2,1,1,1,1,1,1,0,1.0,3,54,0
2,1,266,0,2,3,5,0,2,1,2,2,2,1,1,0,7.0,2,28,0
1,5,307,0,1,1,2,0,2,1,3,3,3,1,1,0,0.0,4,2,0
1,1,307,0,3,1,0,0,2,1,2,2,2,1,6,0,5.0,3,105,0
2,7,266,0,1,1,7,0,2,1,2,1,2,1,1,0,2.0,2,25,0
1,4,307,0,2,1,2,0,2,2,2,1,2,1,1,0,1.0,4,18,1
2,1,266,0,2,1,2,5,2,1,2,2,2,1,1,0,0.0,4,55,0
1,48,307,0,2,2,0,0,2,1,1,1,1,1,1,0,1.0,3,22,0
1,3,69,4,2,2,0,0,1,1,2,2,2,1,1,0,3.0,1,3,0
1,2,307,0,1,1,2,7,2,2,1,1,2,1,1,0,1.0,1,1,0
2,4,266,0,1,4,7,0,1,1,1,1,3,1,1,0,5.0,1,13,0
1,22,205,0,2,5,7,0,2,1,1,1,2,1,1,0,3.0,1,57,0
1,60,179,179,2,2,0,0,1,3,1,1,1,1,1,0,3.0,1,2,0
1,1,218,205,3,1,5,7,2,2,2,2,2,1,4,0,2.0,1,29,0
1,3,31,307,1,1,0,0,2,1,3,3,2,1,1,0,2.0,2,10,0
2,3,266,265,2,1,4,7,2,1,2,1,2,1,4,0,5.0,2,70,0
2,4,265,0,2,5,0,0,2,2,3,3,3,1,1,1,4.0,2,23,0
2,13,285,265,2,1,6,0,2,2,1,1,2,1,1,0,3.0,1,57,0
2,1,266,0,1,1,7,0,1,1,3,3,3,1,1,0,1.0,3,9,0
1,5,141,0,2,1,0,0,2,2,1,1,2,1,1,0,8.0,1,27,0
1,2,307,0,2,1,7,0,2,2,2,1,2,1,1,0,12.0,3,35,0
2,1,266,0,3,1,7,0,2,2,2,2,2,1,3,0,4.0,1,20,0
1,2,128,307,2,2,7,0,2,1,1,1,2,1,1,1,9.0,2,39,0
1,36,307,0,2,2,0,0,2,1,1,1,1,1,1,0,1.0,3,5,0
1,2,307,0,2,1,2,0,2,1,1,1,2,1,1,1,4.0,4,27,0
1,2,307,307,2,1,2,0,2,2,2,1,2,1,1,0,4.0,2,2,0
2,2,266,0,2,1,7,0,2,1,2,1,2,1,1,0,3.0,1,32,0
2,8,299,0,1,3,0,0,2,1,1,1,1,1,1,0,2.0,2,14,0
2,2,265,0,2,1,6,7,2,2,1,1,2,1,1,0,4.0,3,5,0
2,9,299,0,2,2,5,6,1,1,1,1,1,1,1,0,3.0,2,83,0
2,6,266,299,2,6,0,0,2,1,3,3,3,1,1,0,4.0,2,38,0
1,2,307,0,2,1,2,0,2,1,2,2,2,1,3,0,3.0,2,33,0
1,18,20,307,2,2,7,0,2,1,1,1,1,1,1,0,10.0,0,3,0
1,14,307,0,1,2,0,0,3,2,1,1,1,1,1,0,3.0,0,5,0
2,3,266,0,1,1,7,0,1,1,2,2,2,1,2,0,9.0,3,38,0
2,2,266,0,1,7,0,0,2,1,2,1,2,1,1,0,2.0,1,17,0
1,1,307,307,3,1,2,7,3,1,2,1,2,1,6,0,5.0,4,28,1
2,12,247,0,1,1,6,7,2,2,1,1,1,1,1,0,1.0,4,30,0
2,12,266,300,2,1,2,0,2,1,2,3,1,1,1,0,1.0,4,5,0
1,1,70,307,2,1,5,0,2,1,2,2,2,1,1,0,5.0,1,64,0
2,9,266,0,1,1,6,7,2,1,1,1,1,1,2,0,0.0,4,84,0
1,2,307,0,2,1,2,7,2,2,1,1,2,1,1,0,2.0,3,9,0
2,2,265,265,3,6,7,0,1,2,2,2,2,1,4,0,7.0,2,53,0
2,2,266,0,2,2,4,5,2,1,2,2,2,1,3,0,4.0,1,1,0
1,3,307,0,2,2,0,0,2,1,3,3,3,1,1,0,2.0,1,9,0
1,3,307,119,1,5,7,0,2,2,2,2,2,1,1,0,4.0,1,53,0
2,6,266,0,2,4,0,0,1,1,1,1,1,1,1,0,6.0,4,210,4
2,3,292,0,1,1,7,0,1,1,2,2,2,1,1,0,1.0,2,9,0
1,24,307,307,3,1,2,0,2,1,2,2,1,1,2,0,2.0,2,118,0
1,3,307,307,1,2,0,0,3,1,2,2,3,1,1,0,3.0,2,17,0
1,24,307,307,2,2,0,0,2,1,1,1,1,2,1,0,2.0,4,17,1
1,1,307,0,1,2,7,0,2,2,2,2,2,1,1,0,1.0,1,11,0
1,2,307,103,2,1,2,0,2,2,2,1,2,1,1,0,13.0,3,22,5
1,2,307,0,1,3,0,0,2,2,1,1,2,1,1,0,1.0,2,35,0
1,7,307,0,2,2,0,0,2,1,1,1,2,1,1,0,1.0,3,47,0
2,3,264,0,1,1,3,0,1,3,2,2,2,1,1,0,3.0,1,21,3
1,1,307,0,2,2,0,0,2,1,2,2,2,1,1,0,2.0,3,20,0
1,1,307,0,2,1,2,0,2,1,1,1,2,1,1,0,9.0,2,15,0
1,55,20,0,1,1,4,7,2,1,1,1,1,1,1,0,5.0,2,57,0
1,2,200,307,2,1,2,0,2,1,1,1,2,1,1,0,3.0,2,174,0
1,3,307,0,2,1,2,0,2,2,1,1,1,1,1,0,3.0,3,52,0
1,36,213,0,2,3,5,0,2,2,3,3,1,1,1,0,9.0,3,49,0
2,1,265,0,2,1,4,7,2,3,2,1,2,1,1,2,10.0,2,125,0
2,6,292,0,2,2,5,0,2,2,2,2,2,1,1,0,3.0,4,31,0
2,6,265,266,2,2,5,0,2,2,2,2,2,1,1,0,3.0,1,65,0
2,4,247,266,1,2,0,0,2,2,2,2,2,2,1,0,4.0,1,29,0
1,2,307,218,2,2,7,0,2,2,1,1,2,1,1,0,3.0,1,42,0
1,5,307,0,2,1,2,7,2,1,1,1,2,1,1,0,1.0,2,18,0
2,20,265,0,1,1,6,7,3,2,2,1,2,1,1,0,4.0,1,48,0
1,2,307,0,2,2,7,0,2,1,1,1,2,1,1,0,6.0,3,19,0
1,7,307,0,1,2,7,0,2,2,1,3,3,1,1,0,1.0,1,3,0
2,1,266,0,1,1,7,0,2,1,2,1,2,1,1,0,6.0,1,112,0
1,2,307,0,2,1,2,0,2,2,1,1,2,1,2,0,5.0,4,126,0
1,1,307,307,2,1,0,0,2,1,2,2,2,1,1,0,1.0,3,11,0
2,28,248,264,1,1,0,0,3,3,1,1,2,1,1,0,5.0,2,9,0
1,24,26,307,2,1,2,0,2,2,1,1,1,1,1,0,9.0,4,61,5
1,2,307,0,2,1,2,7,2,1,2,1,2,1,2,0,2.0,2,8,0
1,12,307,0,1,2,3,7,2,2,1,1,1,1,1,0,0.0,4,25,0
2,4,266,0,1,1,2,4,2,1,2,2,2,1,1,0,4.0,4,15,0
1,2,307,0,2,1,3,0,2,2,1,1,2,1,1,0,4.0,2,27,0
2,2,265,0,1,4,0,0,1,1,1,1,2,1,1,0,5.0,1,20,0
1,1,307,0,2,1,0,0,2,2,2,2,2,1,2,0,4.0,1,20,0
1,1,307,0,2,1,2,7,1,1,2,2,2,1,1,0,1.0,4,2,0
1,5,20,0,2,1,2,7,2,1,3,3,3,1,1,0,1.0,1,8,5
2,22,265,0,2,1,0,0,2,2,1,1,1,1,1,0,7.0,4,35,0
2,36,266,0,2,1,2,7,2,2,1,1,1,1,1,0,4.0,4,51,0
1,36,213,218,2,7,0,0,2,2,1,1,1,1,1,0,2.0,2,6,0
1,8,307,0,1,4,0,0,2,1,1,1,2,1,1,0,2.0,4,27,0
1,10,307,0,2,7,0,0,2,1,2,1,1,1,1,0,2.0,4,7,0
1,2,307,0,2,2,4,0,2,1,2,1,2,1,1,0,4.0,4,136,0
2,2,265,0,1,1,7,0,1,2,2,2,2,1,1,0,4.0,4,17,0
1,3,307,0,1,1,0,0,2,1,3,1,3,1,1,0,2.0,4,32,0
1,3,307,0,2,1,7,0,2,1,2,2,2,1,1,0,2.0,3,22,0
2,0,266,0,3,1,2,7,2,1,3,1,1,1,6,0,13.0,4,103,0
1,60,205,0,2,1,7,0,1,2,3,1,1,1,1,0,1.0,3,47,0
1,2,307,0,1,2,0,0,2,1,1,1,2,1,1,0,1.0,2,2,0
1,2,307,0,3,2,6,7,2,1,2,2,2,1,6,0,5.0,4,3,0
2,12,265,0,1,2,7,0,2,2,1,1,1,1,1,0,2.0,1,36,0
1,1,307,307,2,1,2,0,2,2,2,1,2,1,1,0,1.0,3,3,0
2,2,266,0,1,3,0,0,3,1,3,3,3,1,2,0,5.0,2,62,0
2,2,266,0,3,7,0,0,2,1,2,1,2,1,3,0,4.0,1,52,0
1,1,307,0,2,7,0,0,2,2,2,2,2,1,1,0,1.0,3,5,0
