"category","index","accuracy"
"Model 10","2611","4"
"Actual","12720","1"
"Model 10","6320","4"
"Model 9","2316","4"
"Model 10","10489","1"
"Model 9","10143","3"
"Model 9","12301","1"
"Actual","14225","3"
"Model 9","13961","2"
"Model 9","6844","4"
"Model 9","14156","1"
"Model 9","13913","1"
"Model 10","10189","2"
"Actual","7583","4"
"Model 10","12877","4"
"Model 10","11998","1"
"Model 9","10553","2"
"Actual","8276","2"
"Actual","11055","1"
"Actual","8681","1"
"Model 9","3931","4"
"Model 10","617","2"
"Model 9","1868","2"
"Actual","1541","4"
"Actual","11091","2"
"Model 10","5616","4"
"Model 9","12983","3"
"Model 10","3603","4"
"Model 10","1282","3"
"Model 10","2311","4"
"Model 9","11466","4"
"Model 9","3449","2"
"Model 10","14301","1"
"Model 10","5890","3"
"Model 10","10662","4"
"Model 9","8225","1"
"Model 9","3543","2"
"Actual","10320","1"
"Actual","9571","4"
"Actual","9253","4"
"Model 9","13769","2"
"Model 9","12643","1"
"Model 10","11508","3"
"Model 9","9176","2"
"Model 9","7598","3"
"Model 9","4080","4"
"Actual","5878","1"
"Model 9","12559","4"
"Actual","5987","1"
"Actual","4555","2"
"Model 10","11416","2"
"Actual","6111","1"
"Model 10","5679","4"
"Model 10","3439","2"
"Model 10","3736","1"
"Model 10","7827","4"
"Model 9","201","4"
"Actual","2732","2"
"Model 10","2741","1"
"Actual","13437","4"
"Model 10","6558","2"
"Model 10","1777","4"
"Model 9","7749","3"
"Model 9","3176","4"
"Model 10","13504","2"
"Actual","9422","2"
"Actual","7124","1"
"Model 10","14725","1"
"Model 9","12895","3"
"Model 9","10653","4"
"Model 9","72","1"
"Actual","3449","4"
"Actual","13583","3"
"Model 10","11114","1"
"Model 10","13790","3"
"Actual","14788","4"
"Model 10","3516","1"
"Model 9","2982","4"
"Actual","4706","1"
"Actual","227","2"
"Actual","6134","4"
"Model 9","2560","1"
"Model 10","9106","1"
"Model 10","2200","1"
"Model 9","10428","3"
"Actual","11103","2"
"Actual","2347","2"
"Model 10","2128","3"
"Actual","223","4"
"Actual","12606","4"
"Actual","1622","1"
"Actual","1840","4"
"Model 10","6807","2"
"Model 10","9318","2"
"Model 9","7306","4"
"Actual","1080","2"
"Actual","2769","2"
"Model 10","9560","4"
"Actual","1548","2"
"Model 9","9193","4"
"Model 9","7612","3"
"Actual","5552","2"
"Model 10","1131","1"
"Actual","8928","4"
"Model 10","10947","2"
"Model 9","2378","4"
"Model 10","13667","2"
"Model 10","4405","4"
"Actual","11000","1"
"Actual","12884","3"
"Model 10","7970","3"
"Model 9","10414","2"
"Model 10","5155","2"
"Actual","2450","1"
"Model 10","1124","1"
"Model 9","14387","2"
"Actual","1610","3"
"Actual","6757","1"
"Model 9","3829","3"
"Model 9","1120","1"
"Model 10","11079","3"
"Model 9","6643","4"
"Model 9","2065","3"
"Model 10","14478","2"
"Model 9","9458","4"
"Model 10","7422","4"
"Model 10","13101","1"
"Actual","6960","3"
"Model 10","14769","2"
"Model 10","8654","2"
"Model 9","9915","4"
"Actual","6055","1"
"Model 9","2362","3"
"Model 9","10936","1"
"Model 10","858","4"
"Model 9","321","2"
"Model 10","2422","4"
"Actual","7048","4"
"Model 9","623","2"
"Actual","9762","2"
"Model 10","6055","2"
"Model 10","9481","2"
"Actual","6124","1"
"Model 10","8558","3"
"Model 9","2028","4"
"Model 9","1398","3"
"Actual","4837","2"
"Model 9","14716","3"
"Model 10","4008","1"
"Actual","10217","1"
"Actual","10794","3"
"Actual","1300","4"
"Model 9","1080","2"
"Model 9","2519","2"
"Actual","3674","1"
"Model 10","1544","4"
"Model 10","4893","1"
"Model 9","9051","2"
"Model 10","2463","4"
"Actual","520","1"
"Model 10","8400","2"
"Model 10","1856","4"
"Actual","11591","4"
"Model 10","9160","1"
"Model 9","5816","4"
"Actual","13901","3"
"Actual","2908","1"
"Model 10","4017","2"
"Actual","10476","4"
"Model 9","8037","2"
"Model 9","14931","1"
"Actual","3189","4"
"Actual","9768","4"
"Model 10","5386","2"
"Model 9","10564","4"
"Model 10","107","2"
"Actual","7784","4"
"Model 9","943","1"
"Model 10","1277","3"
"Model 9","1407","1"
"Actual","749","3"
"Actual","72","1"
"Actual","5461","3"
"Model 10","2209","1"
"Model 10","3568","2"
"Actual","13260","1"
"Model 9","5806","2"
"Model 9","6796","4"
"Model 10","11041","4"
"Model 9","11867","2"
"Model 9","3064","1"
"Actual","7505","2"
"Model 10","14501","2"
"Model 10","1380","4"
"Actual","11531","2"
"Actual","6139","2"
"Model 9","627","4"
"Model 10","12299","4"
"Actual","14180","4"
"Model 9","1124","1"
"Model 10","10970","3"
"Model 10","7950","2"
"Actual","5729","0"
"Model 10","13443","1"
"Actual","3177","0"
"Actual","13843","2"
"Actual","12696","1"
"Actual","12536","4"
"Model 9","12584","1"
"Model 10","4954","2"
"Model 10","7857","1"
"Actual","13182","4"
"Actual","11981","4"
"Actual","5022","3"
"Model 10","2722","4"
"Actual","5078","3"
"Actual","13683","2"
"Model 10","6469","3"
"Model 10","4179","3"
"Model 9","6754","2"
"Model 9","11222","2"
"Model 10","8410","2"
"Model 9","8692","2"
"Actual","14903","2"
"Model 10","203","4"
"Model 10","8034","3"
"Model 9","13397","4"
"Model 10","6077","4"
"Model 10","6909","2"
"Model 9","9180","2"
"Actual","12453","1"
"Actual","10884","1"
"Model 10","11034","4"
"Model 9","1899","2"
"Model 10","7322","4"
"Actual","1462","4"
"Model 9","12927","2"
"Model 10","3373","4"
"Model 9","3705","3"
"Actual","209","1"
"Actual","3603","2"
"Model 10","4540","2"
"Model 10","12559","4"
"Model 10","2241","4"
"Actual","4040","4"
"Model 10","10710","4"
"Model 10","8747","4"
"Actual","11066","1"
"Actual","415","3"
"Model 9","5820","4"
"Model 9","8003","2"
"Model 10","9242","4"
"Model 9","1533","2"
"Actual","13367","3"
"Model 9","7666","2"
"Model 9","4864","4"
"Model 10","14225","3"
"Model 10","6955","4"
"Actual","9875","3"
"Model 10","92","4"
"Model 10","9480","4"
"Model 10","550","3"
"Actual","9559","3"
"Model 9","6952","1"
"Actual","5218","4"
"Actual","6099","2"
"Model 9","9886","3"
"Model 10","12847","1"
"Model 10","1428","2"
"Model 9","4523","2"
"Actual","4762","2"
"Model 10","9693","4"
"Actual","10563","1"
"Model 9","9135","2"
"Actual","11299","2"
"Actual","736","3"
"Model 10","359","4"
"Model 9","6255","4"
"Actual","7422","4"
"Model 9","1034","1"
"Model 10","4116","4"
"Actual","5851","2"
"Model 9","1856","4"
"Model 10","4719","4"
"Model 9","820","2"
"Model 10","3579","1"
"Model 9","5707","1"
"Model 10","5761","4"
"Actual","14439","1"
"Model 9","7775","4"
"Model 10","12203","4"
"Model 10","14622","3"
"Actual","6887","3"
"Model 9","1578","2"
"Model 9","11215","3"
"Model 10","5118","4"
"Model 9","9973","3"
"Model 9","11132","4"
"Actual","10947","4"
"Actual","6382","2"
"Actual","14706","4"
"Model 10","9311","2"
"Actual","14156","4"
"Model 10","11597","3"
"Model 9","12598","4"
"Model 9","9796","4"
"Model 10","6965","1"
"Actual","3891","3"
"Model 10","6748","4"
"Model 9","10648","4"
"Actual","11757","4"
"Model 10","10029","4"
"Model 9","6525","4"
"Actual","7847","2"
"Actual","14829","4"
"Actual","1139","4"
"Model 10","6960","3"
"Model 10","14259","4"
"Model 9","520","2"
"Model 10","2560","1"
"Actual","13790","1"
"Actual","2697","3"
"Model 10","5717","4"
"Model 9","14086","4"
"Actual","6702","2"
"Model 9","8363","2"
"Actual","2025","4"
"Actual","13926","2"
"Model 10","6557","4"
"Model 9","4038","1"
"Model 9","9776","4"
"Model 10","7155","2"
"Model 10","10512","4"
"Actual","1524","4"
"Model 10","10730","4"
"Actual","13715","4"
"Actual","12858","4"
"Actual","4195","4"
"Actual","12478","2"
"Actual","254","3"
"Model 10","13057","2"
"Model 10","4663","3"
"Actual","11597","3"
"Model 9","3391","1"
"Model 10","5369","4"
"Model 10","2132","2"
"Model 10","200","3"
"Actual","6203","4"
"Model 10","7949","2"
"Model 9","11143","2"
"Actual","1814","1"
"Model 9","9729","4"
"Model 9","6757","3"
"Model 9","9546","2"
"Model 10","4522","2"
"Actual","2210","4"
"Actual","10184","3"
"Model 9","4311","2"
"Model 10","223","4"
"Model 10","2979","4"
"Model 10","13323","2"
"Model 9","10650","1"
"Model 10","10110","4"
"Model 10","2316","4"
"Model 9","239","2"
"Model 10","14360","4"
"Model 9","804","2"
"Actual","4286","4"
"Model 9","9092","4"
"Actual","9921","1"
"Model 10","12608","1"
"Model 9","5291","1"
"Actual","2070","2"
"Actual","11669","1"
"Model 9","9745","4"
"Model 9","12438","4"
"Actual","8340","3"
"Actual","6034","2"
"Actual","4938","2"
"Actual","13773","1"
"Model 10","7366","4"
"Model 9","13690","2"
"Model 9","10887","1"
"Model 10","2181","1"
"Model 9","9938","4"
"Model 9","14784","4"
"Model 10","14098","1"
"Actual","397","4"
"Model 9","10232","2"
"Model 9","2311","4"
"Model 9","5231","2"
"Model 9","911","2"
"Model 9","6381","4"
"Model 10","11388","2"
"Model 9","13938","2"
"Model 9","9005","1"
"Actual","13603","3"
"Model 9","9651","2"
"Model 10","1139","4"
"Model 9","44","4"
"Model 9","12216","3"
"Model 10","7298","4"
"Actual","14173","2"
"Model 9","8439","4"
"Model 9","12044","4"
"Model 9","11001","4"
"Model 10","13338","4"
"Model 10","13042","4"
"Model 9","14200","1"
"Model 9","8027","4"
"Model 10","11901","2"
"Actual","12716","2"
"Model 10","1524","3"
"Actual","11978","4"
"Model 10","3531","2"
"Model 9","6856","4"
"Model 10","321","2"
"Model 9","12417","2"
"Model 9","8741","1"
"Model 9","10607","4"
"Actual","3733","2"
"Model 10","8760","4"
"Actual","10812","3"
"Actual","854","3"
"Actual","12040","4"
"Model 10","3023","1"
"Model 9","6775","4"
"Actual","1633","1"
"Actual","9333","4"
"Model 9","11413","1"
"Model 9","11966","1"
"Model 9","13592","4"
"Model 10","2052","2"
"Model 9","13443","1"
"Actual","6560","3"
"Model 10","11397","4"
"Model 10","3230","3"
"Actual","10149","3"
"Model 10","14429","2"
"Model 10","5124","4"
"Model 9","9533","2"
"Model 9","2711","1"
"Model 10","11159","2"
"Model 10","1937","4"
"Actual","3057","1"
"Actual","9609","2"
"Model 9","8034","3"
"Model 10","6811","4"
"Actual","2016","2"
"Model 10","7291","4"
"Model 9","7159","4"
"Actual","4952","1"
"Actual","9999","1"
"Model 10","8737","4"
"Model 10","8720","2"
"Model 9","7030","2"
"Model 9","9256","2"
"Actual","3516","2"
"Actual","3427","2"
"Model 10","5526","4"
"Model 9","1963","2"
"Model 10","14699","3"
"Model 10","2202","3"
"Model 9","14700","4"
"Model 10","128","4"
"Model 10","3985","3"
"Model 10","14531","4"
"Actual","7028","3"
"Actual","9318","4"
"Actual","533","1"
"Model 10","8536","2"
"Model 10","3455","2"
"Actual","2932","3"
"Model 9","1201","4"
"Model 9","9622","1"
"Model 9","3578","2"
"Actual","10025","2"
"Model 9","8701","4"
"Model 10","4544","4"
"Actual","2207","4"
"Actual","8760","2"
"Actual","14200","3"
"Actual","1401","2"
"Actual","13292","4"
"Model 10","2812","2"
"Model 10","12911","1"
"Model 9","11708","1"
"Model 9","1953","2"
"Model 9","3201","1"
"Model 9","10174","2"
"Model 9","3579","1"
"Model 10","1305","2"
"Model 9","3623","2"
"Model 9","3736","3"
"Model 9","4925","4"
"Model 9","3881","2"
"Model 9","3964","2"
"Model 9","12478","2"
"Actual","3361","2"
"Model 9","14429","3"
"Actual","11596","1"
"Actual","2574","2"
"Model 9","1310","2"
"Actual","5488","4"
"Actual","2255","1"
"Model 10","8340","4"
"Model 9","3785","4"
"Actual","8720","4"
"Model 10","1179","4"
"Actual","13234","2"
"Model 10","13039","4"
"Model 9","12521","3"
"Actual","14184","3"
"Model 10","12616","4"
"Model 10","6945","2"
"Model 10","11672","4"
"Actual","13499","1"
"Model 10","12245","2"
"Actual","7539","3"
"Model 9","2779","2"
"Actual","2397","0"
"Model 9","4847","4"
"Model 10","5339","4"
"Model 10","13148","3"
"Model 9","3264","1"
"Actual","7718","3"
"Actual","6796","1"
"Model 10","10896","2"
"Model 10","306","1"
"Actual","5199","3"
"Actual","11109","3"
"Model 10","3383","2"
"Actual","5581","4"
"Model 10","7353","2"
"Model 9","13437","4"
"Model 9","14660","1"
"Model 9","4136","4"
"Actual","11307","2"
"Model 10","14877","4"
"Model 10","12170","2"
"Model 10","11963","2"
"Model 9","7505","4"
"Model 9","14752","4"
"Model 10","10159","3"
"Actual","14259","4"
"Actual","9706","4"
"Model 10","8447","4"
"Model 9","7217","4"
"Actual","3905","2"
"Actual","2410","3"
"Model 9","7122","2"
"Model 9","5218","4"
"Actual","10008","1"
"Actual","3509","1"
"Model 10","3709","1"
"Model 9","5834","2"
"Model 9","5","2"
"Model 9","1428","4"
"Actual","3153","3"
"Model 9","8176","1"
"Model 10","10235","2"
"Model 10","4970","2"
"Model 9","2145","2"
"Model 10","7583","4"
"Model 9","932","4"
"Model 9","12654","4"
"Model 9","3603","2"
"Model 10","7746","2"
"Model 10","2908","4"
"Model 10","1080","2"
"Actual","12529","4"
"Model 10","5033","4"
"Model 9","4077","3"
"Model 10","12572","1"
"Model 9","4706","2"
"Model 9","11000","2"
"Model 9","1165","4"
"Actual","5503","3"
"Actual","6456","1"
"Actual","8536","3"
"Model 9","1851","3"
"Model 10","761","2"
"Actual","2321","3"
"Model 9","941","2"
"Model 9","9873","1"
"Actual","3579","1"
"Model 10","12367","4"
"Model 10","7749","1"
"Actual","8400","3"
"Model 10","5531","3"
"Model 10","1739","4"
"Model 10","10795","2"
"Actual","10054","3"
"Model 9","1644","2"
"Model 10","11287","4"
"Model 10","14276","4"
"Actual","14066","4"
"Actual","385","4"
"Actual","9203","1"
"Model 10","11708","1"
"Model 10","11342","4"
"Actual","13880","4"
"Actual","14725","2"
"Actual","10384","2"
"Model 9","4660","4"
"Model 10","6023","1"
"Model 10","8462","1"
"Model 9","2063","4"
"Model 10","11969","4"
"Actual","435","1"
"Actual","8286","1"
"Model 9","4223","2"
"Model 10","10576","1"
"Model 10","13939","4"
"Model 9","8215","2"
"Model 10","8003","3"
"Actual","2262","1"
"Model 9","1301","1"
"Model 10","9294","4"
"Model 9","7964","2"
"Model 9","2090","4"
"Model 9","5607","4"
"Model 10","1505","2"
"Model 9","7384","2"
"Model 9","2158","2"
"Actual","10009","2"
"Actual","586","4"
"Model 10","3694","3"
"Model 10","3644","1"
"Model 9","10907","4"
"Model 9","13129","2"
"Model 10","8028","2"
"Model 9","6320","4"
"Model 9","636","4"
"Model 10","9845","3"
"Model 10","604","4"
"Actual","12162","2"
"Model 10","7624","3"
"Model 10","8856","2"
"Model 10","6450","3"
"Actual","1892","3"
"Actual","4030","4"
"Actual","10802","1"
"Model 10","10524","4"
"Model 10","14020","4"
"Actual","11549","1"
"Model 9","4484","2"
"Model 10","14595","4"
"Model 10","7976","3"
"Model 10","2674","4"
"Model 10","6908","3"
"Actual","6567","2"
"Model 10","2182","1"
"Model 9","6807","2"
"Model 10","4733","4"
"Model 10","405","4"
"Actual","272","4"
"Model 9","7096","1"
"Actual","14023","4"
"Model 9","4318","4"
"Model 9","3558","4"
"Actual","4288","2"
"Model 10","8384","2"
"Model 10","9605","2"
"Actual","2857","3"
"Actual","11842","3"
"Model 10","6725","4"
"Model 9","7202","3"
"Model 9","4479","3"
"Model 10","1601","3"
"Model 10","12708","2"
"Model 9","761","1"
"Model 10","32","4"
"Model 10","3979","4"
"Model 10","2982","4"
"Model 10","14137","4"
"Model 10","4487","4"
"Model 9","8400","2"
"Actual","6020","3"
"Model 10","2743","4"
"Model 9","9359","4"
"Model 9","13314","3"
"Model 9","1277","3"
"Model 10","9146","3"
"Model 9","11545","3"
"Model 9","2359","2"
"Model 10","674","2"
"Actual","2740","1"
"Model 9","4859","3"
"Actual","604","4"
"Model 10","12067","4"
"Actual","4930","0"
"Model 10","4097","1"
"Model 10","9374","3"
"Model 10","11747","1"
"Model 10","14716","3"
"Actual","6917","2"
"Model 10","13636","4"
"Model 9","12318","2"
"Actual","11174","2"
"Model 9","10644","1"
"Actual","2377","3"
"Model 9","4111","4"
"Model 9","2598","4"
"Actual","9793","2"
"Model 9","4431","4"
"Actual","2736","4"
"Actual","11501","4"
"Model 10","6847","2"
"Actual","9063","1"
"Actual","6731","2"
"Model 9","4580","3"
"Model 10","11483","1"
"Model 9","12346","1"
"Model 10","10216","4"
"Model 9","5235","4"
"Actual","6247","1"
"Model 9","3000","2"
"Model 9","13101","1"
"Model 9","8224","4"
"Model 10","6034","4"
"Actual","11322","4"
"Actual","9377","1"
"Model 10","3814","2"
"Model 10","1685","4"
"Model 9","7803","4"
"Actual","6024","4"
"Model 9","7395","1"
"Actual","4908","1"
"Model 10","4571","2"
"Actual","12598","3"
"Model 10","600","2"
"Actual","2887","4"
"Model 10","749","2"
"Model 9","9113","2"
"Actual","2264","4"
"Model 10","3004","4"
"Model 10","13219","4"
"Actual","11154","3"
"Model 9","12122","4"
"Model 9","14202","4"
"Actual","3203","2"
"Model 10","2621","1"
"Actual","3248","4"
"Actual","9193","1"
"Model 10","9578","2"
"Model 9","3400","4"
"Model 9","8928","4"
"Actual","7113","1"
"Actual","13139","4"
"Model 10","2011","1"
"Model 10","7803","4"
"Model 9","867","2"
"Actual","13606","1"
"Model 9","2463","3"
"Actual","4511","4"
"Actual","10613","3"
"Model 10","10304","1"
"Actual","6881","2"
"Actual","313","4"
"Model 10","7471","4"
"Model 9","8387","3"
"Model 10","685","4"
"Model 9","9925","3"
"Model 10","8550","1"
"Actual","13520","2"
"Actual","3011","3"
"Actual","12748","3"
"Model 9","4779","4"
"Model 9","423","3"
"Model 10","1608","3"
"Model 9","9345","4"
"Model 9","12858","4"
"Model 10","8434","4"
"Model 10","14752","4"
"Actual","1178","2"
"Actual","479","3"
"Model 9","9496","4"
"Model 10","14278","1"
"Actual","7316","4"
"Actual","8311","4"
"Actual","8138","2"
"Model 10","10457","1"
"Model 9","7632","4"
"Model 9","4396","2"
"Model 9","300","1"
"Model 10","10360","4"
"Actual","2305","2"
"Model 9","7980","2"
"Actual","6077","4"
"Model 9","7554","1"
"Model 10","4674","2"
"Model 10","7555","2"
"Actual","6249","2"
"Model 10","12483","1"
"Actual","10644","1"
"Model 9","6032","2"
"Actual","4545","1"
"Model 10","7569","4"
"Model 9","11621","4"
"Model 10","7860","1"
"Model 10","4156","1"
"Model 9","12067","4"
"Model 10","8749","2"
"Model 9","13939","4"
"Actual","8516","4"
"Model 10","14687","3"
"Model 10","6776","4"
"Model 9","7920","2"
"Model 10","2102","3"
"Actual","9270","2"
"Actual","502","2"
"Model 10","8959","2"
"Model 9","9318","2"
"Model 10","14218","4"
"Model 10","6717","3"
"Model 10","351","4"
"Model 10","881","1"
"Actual","4077","3"
"Model 10","3687","3"
"Actual","3796","2"
"Model 10","588","4"
"Model 9","12572","1"
"Actual","1543","3"
"Actual","12256","4"
"Model 10","407","3"
"Actual","6624","4"
"Actual","12568","3"
"Model 10","14123","1"
"Model 9","14610","4"
"Actual","7","3"
"Actual","13131","2"
"Model 9","11325","1"
"Model 10","3737","4"
"Actual","11201","4"
"Model 9","12353","3"
"Model 9","4900","1"
"Model 9","2355","4"
"Actual","5500","4"
"Model 10","11593","1"
"Actual","8451","4"
"Model 9","11647","2"
"Model 10","14449","2"
"Model 9","4553","4"
"Model 9","14821","2"
"Model 10","5181","1"
"Model 10","9791","3"
"Actual","4315","2"
"Model 9","13104","2"
"Model 9","14928","4"
"Actual","11294","2"
"Actual","2063","4"
"Model 10","8937","3"
"Model 10","12549","2"
"Model 9","14708","2"
"Model 9","12873","1"
"Model 10","11339","2"
"Model 9","8032","2"
"Model 9","11944","2"
"Model 10","8319","2"
"Actual","13911","1"
"Actual","6909","3"
"Model 9","3144","2"
"Model 10","13913","1"
"Actual","8160","1"
"Model 10","8664","1"
"Model 10","3796","4"
"Model 9","14903","2"
"Model 9","5382","3"
"Actual","14772","2"
"Model 9","7396","4"
"Model 10","13775","1"
"Actual","4760","4"
"Model 9","10757","2"
"Actual","14221","4"
"Model 10","274","4"
"Actual","9648","3"
"Actual","3158","3"
"Model 10","8077","3"
"Model 10","14664","4"
"Model 9","3439","3"
"Model 9","11174","3"
"Actual","396","3"
"Model 10","4331","2"
"Model 10","1740","4"
"Model 9","12076","4"
"Actual","550","3"
"Model 10","8491","4"
"Model 9","8392","1"
"Actual","1289","1"
"Actual","1010","4"
"Model 10","3705","1"
"Model 9","6095","3"
"Model 10","6040","2"
"Model 10","7890","3"
"Model 9","6209","2"
"Model 10","3160","3"
"Model 9","3895","3"
"Actual","3099","4"
"Model 9","8917","4"
"Actual","6069","4"
"Model 10","3894","3"
"Model 10","1499","1"
"Model 9","9102","1"
"Model 9","9756","2"
"Actual","801","4"
"Model 10","10699","1"
"Model 9","2656","1"
"Actual","11468","0"
"Actual","9359","3"
"Model 9","9132","4"
"Actual","9286","1"
"Model 10","5065","2"
"Model 10","14243","1"
"Actual","1159","3"
"Model 9","6498","4"
"Model 9","8937","3"
"Model 10","4380","1"
"Model 10","13911","2"
"Model 10","12948","2"
"Actual","6704","2"
"Model 10","11141","4"
"Model 9","1543","2"
"Actual","9223","2"
"Actual","11019","4"
"Model 9","9609","4"
"Actual","12889","1"
"Model 10","5814","2"
"Actual","2403","3"
"Model 9","5837","4"
"Actual","11008","4"
"Model 9","12334","2"
"Actual","12549","3"
"Model 9","6295","2"
"Model 10","13489","2"
"Model 9","8077","3"
"Model 10","4076","4"
"Model 10","8224","4"
"Actual","14260","2"
"Model 9","10449","1"
"Model 10","12620","4"
"Model 10","12414","3"
"Model 10","8782","3"
"Model 10","6796","4"
"Actual","9502","4"
"Model 9","5528","3"
"Model 9","4088","2"
"Model 9","2998","4"
"Model 9","2353","4"
"Model 9","8024","1"
"Model 9","5157","3"
"Actual","9776","4"
"Model 9","1300","4"
"Model 9","10601","1"
"Actual","2106","1"
"Model 10","9271","1"
"Model 10","5126","3"
"Actual","11554","0"
"Actual","6651","4"
"Model 10","10228","1"
"Actual","2598","4"
"Actual","2123","4"
"Actual","8749","4"
"Actual","6441","4"
"Model 10","12716","3"
"Model 9","5510","4"
"Model 10","10243","3"
"Model 9","11158","2"
"Model 9","4762","2"
"Model 9","9560","4"
"Actual","9249","3"
"Model 10","4315","2"
"Model 9","13560","4"
"Model 9","8534","1"
"Model 9","767","2"
"Model 10","4841","2"
"Model 9","10528","4"
"Model 10","12266","1"
"Model 9","3671","4"
"Model 10","7350","2"
"Model 9","1154","3"
"Model 10","13604","4"
"Actual","10795","1"
"Model 10","9776","4"
"Model 10","2998","4"
"Model 10","880","3"
"Actual","14359","2"
"Actual","10089","4"
"Model 9","218","2"
"Model 9","4607","3"
"Model 9","11018","2"
"Model 10","14650","1"
"Model 10","6479","2"
"Actual","2416","3"
"Model 9","10996","4"
"Actual","8003","3"
"Model 9","8160","2"
"Model 10","12654","4"
"Actual","12960","4"
"Actual","10708","4"
"Model 10","13869","3"
"Model 10","4949","3"
"Model 10","5219","1"
"Model 10","14839","2"
"Actual","6755","4"
"Actual","14652","3"
"Model 10","12140","3"
"Actual","11191","1"
"Model 9","5206","4"
"Model 10","11744","3"
"Actual","359","2"
"Model 9","5345","4"
"Model 9","14137","1"
"Model 10","14948","2"
"Model 9","11043","2"
"Actual","4180","1"
"Actual","12050","3"
"Actual","6354","2"
"Actual","7915","2"
"Model 9","4579","4"
"Model 9","2207","3"
"Actual","12290","4"
"Model 10","916","4"
"Model 9","4398","4"
"Actual","8588","2"
"Model 10","14599","3"
"Actual","1242","1"
"Model 9","7766","1"
"Model 10","9971","1"
"Model 10","11352","1"
"Model 10","12515","2"
"Model 10","5652","2"
"Model 9","8319","2"
"Actual","7388","1"
"Actual","7202","4"
"Model 10","12625","2"
"Model 10","13031","3"
"Model 9","4712","4"
"Model 9","7113","1"
"Model 10","5245","4"
"Model 10","10132","3"
"Model 10","13129","2"
"Model 9","790","4"
"Model 10","13091","1"
"Model 10","13477","4"
"Actual","7160","2"
"Model 10","12552","4"
"Actual","9414","1"
"Model 9","13985","4"
"Model 9","4571","2"
"Actual","4970","1"
"Actual","7759","3"
"Actual","4434","4"
"Model 9","10033","1"
"Actual","623","3"
"Model 9","9195","4"
"Model 10","4119","3"
"Actual","12877","3"
"Actual","2690","1"
"Actual","4232","3"
"Model 10","1297","4"
"Model 10","9005","1"
"Model 10","3785","4"
"Model 9","12981","1"
